survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,age_z,fare_z
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,-0.5636740664747023,-0.5002397510893574
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,0.6692169576775449,0.788946607905507
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,-0.2554513104366405,-0.4866499346606939
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,0.4380498906489985,0.4228611129909654
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0.4380498906489985,-0.4841333019887193
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,-0.1013399324176096,-0.475912973028981
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,1.902107981829792,0.3979464495384157
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,-2.104787846665011,-0.2219001775689547
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,-0.178395621427125,-0.4220570338487224
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,-1.1801195785508258,-0.0407871840445541
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,-1.9506764686459803,-0.3099823210880695
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,2.210330737867854,-0.1116716665364625
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.7177854444937332,-0.4841333019887193
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,0.7462726466870603,-0.0165429515358186
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,-1.1801195785508258,-0.4880753554061005
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,1.9791636708393072,-0.3240754640511278
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,-2.104787846665011,-0.0598290334937835
1,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,-0.1013399324176096,-0.3844746481785208
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,0.1298271346109367,-0.2838093412995325
1,3,female,28.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,-0.1013399324176096,-0.5007430776237524
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0.4380498906489985,-0.1227448502931512
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0.360994201639483,-0.3844746481785208
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,-1.1030638895413103,-0.4845520696653358
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,-0.1013399324176096,0.0685192327769265
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,-1.6424537126079184,-0.2219001775689547
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,0.6692169576775449,-0.0142779821310413
0,3,male,28.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,-0.1013399324176096,-0.5007430776237524
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,-0.7948411335032486,4.648790695770894
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,-0.1013399324176096,-0.4875720288717055
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4872378200528672
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0.8233283356965757,-0.0880998782776786
1,1,female,28.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,-0.1013399324176096,2.3037078131670836
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,-0.1013399324176096,-0.4901732204014585
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,2.8267762499439777,-0.434807301618015
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,-0.1013399324176096,1.008145313634504
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,0.9774397137156066,0.4007147454775879
1,3,male,28.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,-0.1013399324176096,-0.500658518765974
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.6407297554842177,-0.4841333019887193
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,-0.871896822512764,-0.2838093412995325
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,-1.1801195785508258,-0.4198746099955858
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,0.8233283356965757,-0.4554436895282076
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,-0.178395621427125,-0.2234101571721395
0,3,male,28.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,-0.1013399324176096,-0.4872378200528672
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,-2.0277321576554956,0.1909121394926757
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,-0.7948411335032486,-0.4875720288717055
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4841333019887193
0,3,male,28.0,1,0,15.5,Q,Third,man,True,Queenstown,no,False,-0.1013399324176096,-0.3341419947390266
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,-0.1013399324176096,-0.4901732204014585
0,3,male,28.0,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,-0.1013399324176096,-0.2097357818856977
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,-0.871896822512764,-0.287835953574692
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,-1.719509401617434,0.1528264272880792
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,-0.6407297554842177,-0.4891665673326686
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,1.5168295367822149,0.8985892468519636
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,-0.0242842434080941,-0.1227448502931512
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,2.749720560934462,0.6016265915589479
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,-0.1013399324176096,0.0685192327769265
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,-0.6407297554842177,-0.434807301618015
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,-0.0628120879128519,-0.500658518765974
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,-1.8736207796364648,-0.0875119928855053
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,-1.4112866455793722,0.2980361324610198
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,-0.5636740664747023,-0.500658518765974
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,1.208606780744153,1.0344028522808193
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,-1.9506764686459803,-0.0844920336791357
0,1,male,28.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,-0.1013399324176096,-0.0880998782776786
1,3,male,28.0,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,-0.1013399324176096,-0.3392598189407544
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,-0.0242842434080941,-0.434807301618015
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,-0.7948411335032486,-0.4819528914417204
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,-0.9489525115222794,-0.4866499346606939
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,-0.2554513104366405,-0.4718018018960432
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0.2068828236204521,-0.434807301618015
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,-1.026008200531795,0.2980361324610198
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,-0.6407297554842177,0.8335755650572377
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,-0.2554513104366405,-0.3551971503258359
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0.2068828236204521,0.4912289628108992
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,-0.3325069994461559,-0.4921865265390384
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4872378200528672
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4841333019887193
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,-2.1949430028061445,-0.0623456661657582
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,0.0527714456014212,-0.3950445054008146
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,-0.5636740664747023,-0.4650068936817115
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,-0.0242842434080941,-0.4549403629938127
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,-0.1013399324176096,-0.4894182305998661
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,-0.1013399324176096,0.3020627447361794
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,-0.9489525115222794,-0.434807301618015
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,0.2839385126299676,-0.3270954232574974
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,-1.026008200531795,0.0458695387291541
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4841333019887193
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,-0.4866183774651868,4.648790695770894
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.4095626884556714,-0.4841333019887193
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.0242842434080941,-0.4841333019887193
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,-0.7177854444937332,-0.4880753554061005
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,1.2856624697536685,0.5854355836005315
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,-0.2554513104366405,-0.2319667082568536
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,2.287386426877369,-0.5002397510893574
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4841333019887193
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,3.2120546949915547,0.0514906894652769
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,-0.4866183774651868,0.6293920965023105
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,0.360994201639483,-0.1831440344205442
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,0.360994201639483,-0.1227448502931512
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,-0.1013399324176096,-0.4872378200528672
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4872378200528672
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,-0.6407297554842177,0.9098295350180712
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,0.2839385126299676,-0.4719689063054623
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,0.5921612686680294,-0.4866499346606939
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4872378200528672
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,-0.6407297554842177,-0.4921865265390384
1,3,male,28.0,0,0,7.775,S,Third,man,True,Southampton,yes,True,-0.1013399324176096,-0.4896698938670636
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0.6692169576775449,-0.4872378200528672
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,-0.1013399324176096,-0.1599910138383769
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,1.3627181587631838,0.4007147454775879
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,-1.1415917340460682,-0.3551971503258359
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.5636740664747023,-0.4841333019887193
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,-0.7177854444937332,-0.4483971180466784
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,-0.9489525115222794,-0.3551146047741951
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,-0.6407297554842177,-0.4866499346606939
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,3.173526850486797,-0.4901732204014585
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,-0.0242842434080941,-0.2234101571721395
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,-0.4095626884556714,4.337147012122648
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,-2.104787846665011,-0.0165429515358186
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,-0.6407297554842177,0.8335755650572377
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,-0.1013399324176096,-0.4841333019887193
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,0.2454106681252099,-0.0407871840445541
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0.2454106681252099,-0.3844746481785208
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,1.902107981829792,0.9098295350180712
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,-1.334230956569857,-0.4198746099955858
0,3,male,28.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,-0.1013399324176096,-0.4901732204014585
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,-0.4095626884556714,-0.5024201616363563
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,-0.1013399324176096,-0.1960634199053935
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,1.208606780744153,-0.5057763429677017
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0.2839385126299676,-0.4872378200528672
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,-0.7177854444937332,-0.5042663633645169
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,1.3627181587631838,-0.3542750561148243
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,-0.0242842434080941,-0.1227448502931512
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,-0.3325069994461559,-0.3844746481785208
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,-0.4866183774651868,-0.343286431215914
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,-0.7948411335032486,-0.1170411540053877
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,0.5921612686680294,0.4228611129909654
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,-1.026008200531795,-0.4606440592815761
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,-0.4095626884556714,0.9483340148992844
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,-0.1013399324176096,-0.3392598189407544
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,-0.5636740664747023,-0.4901732204014585
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,-0.4095626884556714,-0.3270954232574974
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,-0.7948411335032486,-0.5103062817772562
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,-0.871896822512764,-0.4146742402422173
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,-0.7948411335032486,0.0936855594966736
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,-0.178395621427125,-0.489251126190447
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,-1.565398023598403,0.0458695387291541
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,0.5536334241632717,-0.1227448502931512
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0.9774397137156066,-0.3844746481785208
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,1.6709409148012455,-0.3940378523320247
