title,price_gbp,price_inr,rating,in_stock,category
It's Only the Himalayas,,,2,True,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,,,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,,,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,,,2,True,Travel
Under the Tuscan Sun,,,3,True,Travel
A Summer In Europe,,,2,True,Travel
The Great Railway Bazaar,,,1,True,Travel
A Year in Provence (Provence #1),,,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),,,1,True,Travel
Neither Here nor There: Travels in Europe,,,3,True,Travel
"1,000 Places to See Before You Die",,,5,True,Travel
Sharp Objects,,,4,True,Mystery
"In a Dark, Dark Wood",,,1,True,Mystery
The Past Never Ends,,,4,True,Mystery
A Murder in Time,,,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),,,4,True,Mystery
The Last Mile (Amos Decker #2),,,2,True,Mystery
That Darkness (Gardiner and Renner #1),,,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),,,1,True,Mystery
A Time of Torment (Charlie Parker #14),,,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),,,2,True,Mystery
Poisonous (Max Revere Novels #3),,,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),,,4,True,Mystery
Most Wanted,,,3,True,Mystery
Hide Away (Eve Duncan #20),,,1,True,Mystery
Boar Island (Anna Pigeon #19),,,3,True,Mystery
The Widow,,,2,True,Mystery
Playing with Fire,,,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),,,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),,,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),,,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),,,4,True,Mystery
In the Woods (Dublin Murder Squad #1),,,2,True,Mystery
The Silkworm (Cormoran Strike #2),,,5,True,Mystery
The Exiled,,,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),,,1,True,Mystery
Extreme Prey (Lucas Davenport #26),,,3,True,Mystery
Career of Evil (Cormoran Strike #3),,,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),,,4,True,Mystery
The Girl You Lost,,,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),,,3,True,Mystery
Blood Defense (Samantha Brinkman #1),,,3,True,Mystery
1st to Die (Women's Murder Club #1),,,1,True,Mystery
The Requiem Red,,,1,True,Young Adult
Set Me Free,,,5,True,Young Adult
The Natural History of Us (The Fine Art of Pretending #2),,,3,True,Young Adult
Obsidian (Lux #1),,,2,True,Young Adult
Burning,,,3,True,Young Adult
A Fierce and Subtle Poison,,,4,True,Young Adult
Scarlett Epstein Hates It Here,,,5,True,Young Adult
"Nightingale, Sing",,,1,True,Young Adult
Library of Souls (Miss Peregrineâs Peculiar Children #3),,,5,True,Young Adult
Frostbite (Vampire Academy #2),,,5,True,Young Adult
Wild Swans,,,2,True,Young Adult
Until Friday Night (The Field Party #1),,,2,True,Young Adult
This Is Where It Ends,,,2,True,Young Adult
The Darkest Lie,,,5,True,Young Adult
My Kind of Crazy,,,1,True,Young Adult
Don't Get Caught,,,1,True,Young Adult
Catching Jordan (Hundred Oaks),,,3,True,Young Adult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),,,4,True,Young Adult
The Epidemic (The Program 0.6),,,5,True,Young Adult
Stars Above (The Lunar Chronicles #4.5),,,2,True,Young Adult
No Love Allowed (Dodge Cove #1),,,4,True,Young Adult
"Exit, Pursued by a Bear",,,4,True,Young Adult
The Alien Club,,,1,True,Young Adult
Don't Forget Steven,,,1,True,Young Adult
South of Sunshine,,,1,True,Young Adult
My Life Next Door (My Life Next Door ),,,5,True,Young Adult
Future Shock (Future Shock #1),,,5,True,Young Adult
Nightstruck: A Novel,,,4,True,Young Adult
Tell the Wolves I'm Home,,,2,True,Young Adult
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",,,4,True,Young Adult
Where She Went (If I Stay #2),,,4,True,Young Adult
Two Summers,,,1,True,Young Adult
The Darkest Corners,,,5,True,Young Adult
Tell Me Three Things,,,1,True,Young Adult
Lola and the Boy Next Door (Anna and the French Kiss #2),,,4,True,Young Adult
Kill the Boy Band,,,5,True,Young Adult
Isla and the Happily Ever After (Anna and the French Kiss #3),,,5,True,Young Adult
An Abundance of Katherines,,,5,True,Young Adult
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),,,4,True,Young Adult
Walk the Edge (Thunder Road #2),,,3,True,Young Adult
Two Boys Kissing,,,2,True,Young Adult
The New Guy (and Other Senior Year Distractions),,,3,True,Young Adult
"The Land of 10,000 Madonnas",,,4,True,Young Adult
Scarlet (The Lunar Chronicles #2),,,4,True,Young Adult
Legend (Legend #1),,,4,True,Young Adult
Lady Renegades (Rebel Belle #3),,,5,True,Young Adult
Golden (Heart of Dread #3),,,4,True,Young Adult
Cinder (The Lunar Chronicles #1),,,1,True,Young Adult
Boy Meets Boy,,,3,True,Young Adult
Annie on My Mind,,,5,True,Young Adult
New Moon (Twilight #2),,,4,True,Young Adult
Girl Online On Tour (Girl Online #2),,,1,True,Young Adult
The Haters,,,5,True,Young Adult
The Art of Not Breathing,,,4,True,Young Adult
